Do it again!	Recommencez !
Can I come in?	Puis-je entrer ?
I saw it.	Je l’ai vu.
You drive.	Vous conduisez.
OK, you win.	Ok, tu as gagné.
That's stupid.	C'est stupide.
It's late.	Il est tard.
Tom loves art.	Tom aime l'art.
Exhale slowly.	Expirez lentement !
It's morning.	On est le matin.
I'm a surfer.	Je suis surfeuse.
Open it.	Ouvre-le.
They all know.	Elles savent toutes.
She's adorable.	Elle est adorable.
Make a choice.	Faites un choix !
Tom got lost.	Tom s'est égaré.
You're unfair.	Tu es injuste.
Be careful.	Soyez prudent !
I was at home.	J'étais à l'appartement.
How nice!	Comme elle est belle !
We're heroes.	Nous sommes des héros.
We are doctors.	Nous sommes médecins.
This is life!	C'est la vie !
Am I fired?	Vous me mettez à la porte ?
Who saw me?	Qui m'a vu ?
Just trust me.	Faites-moi juste confiance !
Pardon me?	Hein ?
Try some.	Essaies-en !
We're all here.	Nous sommes tous ici.
Who ran?	Qui courrait ?
He was crying.	Il pleurait.
It's a TV.	C'est une télé.
We need to go.	Il nous faut nous en aller.
We're ready.	Nous sommes prêtes.
Remain seated.	Reste assis.
Are we prepared?	Y sommes-nous prêts ?
Is it yours?	Est-ce à vous ?
I like jogging.	J'aime faire du jogging.
You're back.	Tu es de retour.
You look tired.	Tu as l'air fatigué.
We could read.	Nous pourrions lire.
I am not happy.	Je ne suis pas heureuse.
Get down.	Descends !
Let me see it.	Laisse-moi la voir.
I had to do it.	Il m'a fallu le faire.
I didn't know.	Je ne savais pas.
This is hers.	Ce sont les siens.
That's trash.	C'est des ordures.
Can I see, too?	Puis-je également voir ?
I nailed it.	C'est dans la poche !
I have cash.	Je dispose de liquide.
He is eight.	Il a huit ans.
Smoking stinks.	Fumer, ça pue !
Good afternoon.	Bonjour.
Is he tall?	Est-il grand ?
Stop yawning.	Arrête de bailler.
Be nice to her.	Sois gentille avec elle.
I sure am cold.	J'ai vraiment froid.
Go ahead.	Poursuivez !
Thanks again.	Encore une fois, merci.
You're lying!	Tu mens !
Can you shut up?	Peux-tu te taire?
How much is it?	Combien ça fait ?
Save Tom.	Sauvez Tom.
They're brave.	Ils sont courageux.
I am too short.	Je suis trop petit.
I'm a liar.	Je suis un menteur.
Tom was fun.	Tom était amusant.
I didn't go.	Je n'y suis pas allée.
I'm coming.	J'arrive.
Eat it.	Mange-le.
I help Tom.	J’aide Tom.
Were you busy?	Étiez-vous occupées ?
I'm not well.	Je ne vais pas bien.
Fear nothing.	Ne crains rien.
They're new.	Ils sont nouveaux.
I obeyed.	J’ai obéi.
I'm not strong.	Je ne suis pas forte.
Tom promised.	Tom a promis.
Look up there.	Regardez là-haut.
Open your eyes.	Ouvre tes yeux.
Hurry up.	Pressez-vous !
Burn it.	Brûlez-la.
Tom looked.	Tom a regardé.
It's cold.	C'est froid.
Just sign this.	Signe juste ça.
Fire!	Au feu !
Save me a seat.	Réserve-moi un siège.
Tom is unmoved.	Tom est impassible.
I acquired it.	J’en ai fait l’acquisition.
Be merciful.	Sois miséricordieuse !
You're kidding!	Vous me faites marcher !
Nobody's busy.	Personne n'est occupé.
He's mine.	Il est à moi.
Don't be upset.	Ne soyez pas fâchées !
They found it.	Elles le trouvèrent.
I was curious.	J'étais curieux.
Tom hesitated.	Tom hésita.
We must wait.	Il nous faut attendre.
I wasn't drunk.	Je n’étais pas saoul.
Tom should eat.	Tom devrait manger.
Let's party.	Célébrons.
We're direct.	Nous sommes directs.
Get real!	Sois réaliste !
Welcome.	Bienvenue !
Am I dying?	Suis-je en train de mourir ?
Autumn is here.	L'automne est là.
They let me go.	Ils m'ont laissé partir.
I really tried.	J'ai vraiment essayé.
Everyone's out.	Tout le monde est dehors.
Go ahead!	Avance !
Don't sing.	Ne chantez pas.
I'm one of you.	Je suis l'un d'entre vous.
She knows me.	Elle me connaît.
Take care!	Prends bien soin de toi.
I am very tall.	Je suis très grand.
Pardon me?	Je vous demande pardon ?
How dare you!	Comment oses-tu !
Keep listening.	Continuez à écouter.
Tom overdosed.	Tom a fait une overdose.
Calm down!	Tranquille.
Tom tries.	Tom essaie.
It's so early.	Il est si tôt.
Leave at once.	Partez sur-le-champ.
Is it cloudy?	Est-ce nuageux ?
Tom paid cash.	Tom a payé en liquide.
Tom is older.	Tom est plus âgé.
You're in luck.	Vous êtes veinardes.
Catch this.	Attrape ça.
Tom is numb.	Tom est insensible.
You're sleepy.	Vous êtes endormi.
I'm amused.	Ça m'amuse.
Be watchful.	Sois prudent !
Stop fighting.	Arrêtez de vous battre.
Don't worry.	Ne vous inquiétez pas.
It's redundant.	C'est superflu.
Tom is joking.	Tom plaisante.
Go back.	Recule.
Make it brief.	Fais court.
Wait a while.	Attends un peu.
Let me die.	Laissez-moi mourir.
I tried it.	Je l'ai essayé.
I'm depressed.	Je suis dépressive.
Did anyone care?	Quiconque s'en est-il soucié ?
Tom sobbed.	Tom sanglotait.
He ignored me.	Il m'a ignorée.
It's night.	Il fait nuit.
Well done!	Bien joué !
Tom called you.	Tom t'a appelé.
I turned right.	J'ai pris à droite.
You're direct.	Tu es directe.
Is it time?	Est-il l'heure ?
We promised.	Nous promîmes.
Open the safe.	Ouvre le coffre !
I thought so.	Je m'en suis douté.
Mary is lovely.	Marie est charmante.
You're rude.	Vous êtes grossiers.
You're direct.	Tu es direct.
How horrible!	Quelle horreur !
She shrieked.	Elle cria.
I'm a cop.	Je suis flic.
It happens.	Ça arrive.
We can hear.	Nous pouvons entendre.
Tom saw her.	Tom la voyait.
My hair is wet.	Mes cheveux sont mouillés.
He's Hungarian.	Il est hongrois.
I'm lucky.	Je suis chanceuse.
Go find Tom.	Va chercher Tom !
Be nice to her.	Sois gentil avec elle.
Is this a joke?	S'agit-il d'une blague ?
Pardon me?	Je vous demande pardon ?
I'll stop now.	Je vais arrêter maintenant.
Calm down.	Calme-toi.
I didn't ask.	Je n'ai pas demandé.
I loved that.	J'ai adoré ça.
We need a plan.	Il nous faut un plan.
She runs fast.	Elle court vite.
Life is crazy.	La vie est dingue.
I'll join you.	Je me joindrai à toi.
That's my car.	C'est ma bagnole.
They're broke.	Elles sont fauchées.
Sign up.	Inscrivez-vous.
Go faster.	Va plus vite.
Come on, get up.	Allez, lève-toi.
I'm not lying.	Je ne suis pas en train de mentir.
We're shaken.	Nous sommes remuées.
I'm resilient.	Je suis tenace.
Thanks.	Merci !
Tom lost count.	Tom a perdu le fil.
Did I wake you?	Vous ai-je réveillés ?
He is not in.	Il n'est pas chez lui.
Be fair.	Soyez justes !
We're ruined.	Nous sommes ruinées.
Tom fooled me.	Tom m'a trompé.
We had a blast.	On s'est éclatées.
We're in town.	Nous sommes en ville.
She is out now.	Elle est en déplacement en ce moment.
She obeys him.	Elle lui obéit.
He's annoying.	Il est embêtant.
Just ignore it.	N'y prête simplement pas attention !
I'm satisfied.	Je suis satisfait.
That's for you.	C'est pour toi.
I hate my boss.	Je déteste mon patron.
You're nervous.	Vous êtes nerveux.
She teased him.	Elle le taquina.
I got caught.	Je me suis fait prendre.
Am I wrong?	Ai-je tort ?
We're adults.	Nous sommes des adultes.
We're OK.	Nous allons bien.
I like art.	J'apprécie l'art.
It stinks.	Ça pue.
We won.	Nous gagnâmes.
I'm sloshed.	Je suis bourré.
I feel lousy.	Je me sens pas bien.
I made coffee.	J'ai préparé du café.
Tom left me.	Tom m'a largué.
I got fined.	Je me suis fait verbaliser.
Were you busy?	Étais-tu occupé ?
Never mind!	N'y prête pas attention.
Don't push.	N'insistez pas.
You were happy.	Vous étiez heureuses.
Get lost.	Fiche le camp.
Tom never left.	Tom n'est jamais parti.
Be friendly.	Soyez amicales !
Go take a walk.	Va faire une promenade !
I gave up.	J'ai abandonné.
Were you there?	Y étais-tu ?
She was lying.	Elle était en train de mentir.
Take control.	Prenez les commandes.
Step forward.	Avancez d'un pas.
Are ghosts real?	Les fantômes sont-ils réels ?
I'll risk it.	Je tenterai le coup.
I'll be there.	J'y serai.
Tom liked that.	Tom a aimé ça.
I'll be ready.	Je serai prête.
Come on down.	Descends.
You write well.	Vous écrivez bien.
We're not old.	Nous ne sommes pas vieux.
We all know it.	Nous le savons tous.
Who thinks so?	Qui partage cet avis ?
I'm all done.	J'ai tout terminé.
It's outdated.	C'est dépassé.
Please try one.	Essayez-en une.
I'm thorough.	Je suis minutieuse.
Tom got bit.	Tom s'est fait mordre.
You're morons.	Vous êtes des attardés mentaux.
Memorize it.	Mémorise-la.
Let Tom try.	Laissez Tom essayer.
I want to go.	Je veux partir.
I'm ambitious.	Je suis ambitieux.
I like women.	J'apprécie les femmes.
He's so cute.	Il est tellement mignon !
He's a man now.	C'est désormais un homme.
I was careful.	J'ai été prudent.
They're scared.	Elles sont effrayées.
I'm on my way.	Je suis en chemin.
Call your wife.	Appelle ta femme.
I was drugged.	J'ai été droguée.
I am sure.	Je suis sûr.
Were you happy?	Étiez-vous heureux ?
You disgust me.	Vous me dégoutez.
Don't leave us.	Ne nous quitte pas !
I beg you.	Je vous en conjure.
I have no food.	Je suis dépourvu de nourriture.
I like talking.	J'aime parler.
That's right!	C'est ça !
That's true.	C'est exact.
Do you smoke?	Fumes-tu ?
Aren't we lucky?	Ne sommes-nous pas chanceux ?
That's odd.	C'est bizarre.
Attack!	Attaquez !
Coffee, please.	Du café, je vous prie.
We're not late.	Nous ne sommes pas en retard.
Stop whistling.	Arrête de siffler !
Why blame Tom?	Pourquoi accuser Tom ?
It's vibrating.	Ça vibre.
Tom likes that.	Tom aime ça.
It's fun.	C'est marrant.
I have orders.	J'ai des ordres.
Wash up.	Lavez-vous !
How awful!	C'est affreux !
I am a teacher.	Je suis professeur.
I'll be back.	Je reviendrai.
It was clean.	C'était net.
I want one!	J'en veux un !
I'm a tourist.	Je suis touriste.
Who's there?	Qui est là ?
You're so mean.	Tu es si méchant.
Everyone wins.	Tout le monde y gagne.
I saw her home.	Je l'ai vue à son domicile.
How much is it?	Combien ça coûte ?
This is French.	C'est français.
I got divorced.	J'ai divorcé.
French is easy.	Le français est facile.
Is Tom well?	Est-ce que Tom va bien ?
Let's chat.	Discutons.
I was good.	Je fus bonne.
We're not sure.	Nous ne sommes pas sûrs.
He was stoned.	Il fut lapidé.
I'm strict.	Je suis stricte.
Beat it.	Casse-toi de là.
Be careful!	Fais gaffe !
Say hello.	Dis bonjour.
Bring Tom back.	Fais revenir Tom.
Head west.	Dirige-toi vers l'ouest.
It's work.	C'est du boulot.
You're amazing.	Vous êtes incroyables.
Try to find it.	Essaie de le trouver.
I see a star.	Je vois une étoile.
I like castles.	J'aime les châteaux.
You're early.	Tu es matinale.
I need to know.	Il me faut savoir.
They struggled.	Ils ont eu du mal.
Goodbye!	Adieu !
Have you slept?	As-tu dormi ?
I rescued you.	Je vous ai sauvée.
It's French.	C'est français.
What happened?	Qu'est-ce qui s'est passé ?
Finish this.	Finis ça.
Call us.	Appelez-nous !
That's cool.	C'est cool.
Get out!	Oust !
Tom likes it.	Ça plaît à Tom.
Where were you?	Où étais-tu ?
Did you go out?	Es-tu sorti ?
You woke me.	Tu m'as réveillé.
Who wrote that?	Qui a écrit ça ?
I ate caviar.	J'ai mangé du caviar.
Stay sharp.	Reste malin !
How tragic!	C'est tragique !
Is Tom here?	Tom est là ?
She wants him.	Elle le veut.
Keep digging.	Ne t'arrête pas de creuser.
He avoids me.	Il m'évite.
He likes jelly.	Il aime la gelée.
Did I break it?	L'ai-je brisé ?
Ask my friends.	Demandez à mes amis.
This is nice.	C'est chouette.
Pick a number.	Choisis un nombre !
You're stuck.	T'es planté.
Things change.	Les choses changent.
I made plans.	J'ai fait des projets.
Tom is useless.	Tom est bon à rien.
What did I get?	Qu'ai-je obtenu ?
It's my job.	C'est mon emploi.
Kill it.	Tue-le.
It's horrible.	C'est horrible.
Can you help?	Pouvez-vous aider ?
Please fix it.	Veuillez le réparer.
Stop humming.	Arrête de fredonner.
I'm ticklish.	Je suis chatouilleux.
It's close by.	C'est à proximité.
Are you correct?	Avez-vous raison ?
Tom seems nice.	Tom a l'air gentil.
I'll try.	Je vais essayer.
Who's this guy?	Qui est ce type ?
Tom talked.	Tom a parlé.
You're too big.	Tu es trop grand.
Stay close.	Restez à proximité.
You're bright.	Vous êtes brillant.
That was weird.	C'était bizarre.
Just ignore it.	Vous n'avez qu'à l'ignorer !
I made these.	J'ai fait ceux-ci.
Tom is sexy.	Tom est sexy.
Start counting.	Commence par compter.
I am not deaf.	Je ne suis pas sourd.
This is my cat.	C'est mon chat.
Are you at home?	Tu es chez toi ?
This is Tom.	Voilà Tom.
I've messed up.	J'ai merdé.
Tom is on duty.	Tom est de faction.
Are you looking?	Regardez-vous ?
Get out.	Oust !
We have wine.	Nous avons du vin.
You're clever.	Vous êtes malin.
Do I annoy you?	Est-ce que je vous embête ?
Should I reply?	Devrais-je répondre ?
Tom can talk.	Tom peut parler.
Are you jealous?	Êtes-vous jalouse ?
He has a lunch.	Il dispose d'un déjeuner.
Stop clapping.	Arrête d'applaudir.
Try it again.	Essaye encore.
Come up here.	Approchez.
I feel happy.	Je me sens heureux.
Is that coffee?	Est-ce que c'est du café ?
I am weak.	Je suis faible.
He's a slob.	C'est un flemmard.
You have to go.	Il faut que tu t'en ailles.
Duck!	À terre !
Anybody will do.	N'importe qui fera l'affaire.
They agree.	Ils sont d'accord.
Take care.	Soyez prudente !
I belong here.	C'est ici qu'est ma place.
That's a lot!	C'est beaucoup !
We're up early.	Nous sommes debout tôt.
It's all white.	C'est tout blanc.
Don't show off.	Arrête de te la péter !
I fell asleep.	Je me suis endormie.
Take it easy!	Reste cool.
Say goodbye.	Dites au revoir.
I hate liars.	Je déteste les menteurs.
Buy me a drink.	Offre-moi un verre !
Tom fired me.	Tom m'a renvoyé.
Do you agree?	Es-tu d'accord ?
They're broken.	Ils sont cassés.
Get moving.	En route.
You're joking!	Vous plaisantez !
Are you unlucky?	Êtes-vous malchanceuse ?
Humor Tom.	Mets Tom de bonne humeur.
Get away!	Barrez-vous.
Were you hurt?	As-tu été blessée ?
I'm busy, too.	Je suis également affairée.
Stop shouting.	Arrête de crier.
You're funny.	Vous êtes marrants.
Who's thirsty?	Qui a soif ?
Fight like men.	Battez-vous comme des hommes.
I need a map.	J'ai besoin d'un plan.
I need a snack.	J'ai besoin d'une collation.
Get going.	Déplace-toi.
Can you ski?	Savez-vous faire du ski ?
I'm starved.	J'ai les crocs.
Are you jealous?	Êtes-vous jaloux ?
Put on the hat.	Mets le chapeau.
Tom meant it.	Tom était sincère.
Tom intervened.	Tom intervint.
We like Tom.	Nous aimons Tom.
Ignore them.	Ignorez-les.
Never give up.	N'abandonne jamais.
Look closer.	Rapprochez-vous pour voir.
It happens.	Ça se produit.
You can go now.	Tu peux partir maintenant.
Who killed Tom?	Qui a tué Tom ?
I'm starving.	Je crève de faim !
I'm uninsured.	Je ne suis pas assuré.
Can you hear us?	Parvenez-vous à nous entendre ?
Are you blind?	Es-tu aveugle ?
Tom's adopted.	Tom est adopté.
How's your son?	Comment va ton fils ?
I hesitated.	J’ai hésité.
Keep it up.	Continue comme ça.
They're lazy.	Elles sont paresseuses.
Please vote.	Votez s'il vous plaît.
I wasn't hired.	On ne m'a pas embauché.
I need space.	J'ai besoin d'espace.
I'm prejudiced.	J'ai des préjugés.
I'd buy that.	Je l'achèterais.
Go to sleep.	Endors-toi.
Who's speaking?	Qui parle ?
That's his.	C'est le sien.
Did you hear it?	L'as-tu entendu ?
It's here.	Elle est ici.
Who has time?	Qui a le temps ?
I'm lucky.	J'ai du pot.
I liked it.	Je l'ai apprécié.
Just buy those.	Achetez-les tout simplement.
I can't see.	Je n'arrive pas à voir.
I'm through.	J'en ai terminé.
I want a donut.	Je veux un beignet.
Be reasonable.	Soyez raisonnables !
They laughed.	Elles ont ri.
Everyone sat.	Tout le monde s'est assis.
Is it you?	Est-ce toi ?
Be calm.	Soyez calme !
Can it wait?	Cela peut-il attendre ?
You're foolish.	Tu es imprudente.
Tom is winning.	Tom gagne.
I was impolite.	J'ai été impoli.
It isn't weird.	Ce n'est pas bizarre.
I hate flying.	Je déteste voler.
It's not a dog.	Ce n'est pas un mauvais placement.
I can't get up.	Je n'arrive pas à me lever.
I feel awful.	Je me sens affreusement mal.
I like reading.	J'aime lire.
How are you?	Comment allez-vous ?
Walk slowly.	Marchez lentement.
I hate it.	Je déteste ça.
It looks easy.	Ça a l'air facile.
Tom felt great.	Tom se sentait très bien.
Are we ready?	Sommes-nous prêtes ?
I'm all yours.	Je suis tout à vous.
You're the pro.	C'est vous le professionnel.
Here, catch!	Ici, attrape !
Drive safely.	Conduisez prudemment.
You're bossy.	Tu fais le chef.
It's my turn.	C'est mon tour.
Work slowly.	Travaille lentement !
I can survive.	Je peux survivre.
Are you relaxed?	Êtes-vous détendu ?
He's addicted.	Il est drogué.
Take it easy!	Du calme !
Take a shower.	Va prendre une douche !
Tom misled you.	Tom t'a trompé.
Go to bed.	Va dormir !
Try it again.	Essaie à nouveau.
Stay in bed.	Reste alité !
I'll attend.	J'y assisterai.
I panicked.	J'ai paniqué.
Do you see me?	Me vois-tu ?
We help Tom.	Nous aidons Tom.
I may be wrong.	Il se peut que j'aie tort.
The baby cried.	Le poupon pleurait.
Is it a joke?	Est-ce une blague ?
Wake the kids.	Réveillez les enfants.
Tom exercises.	Tom s'exerce.
Let Tom come.	Laisse Tom venir.
You're tough.	Vous êtes dure.
We must go.	Nous devons nous en aller.
Tom hates dogs.	Tom a horreur des chiens.
I get off here.	Je descends ici.
Take care.	Prenez soin de vous.
Are you sad?	Es-tu triste ?
Tom's sorry.	Tom est désolé.
He is out now.	Il est actuellement sorti.
You were shy.	Tu étais timide.
Stop dreaming.	Arrête de rêver.
Brush your hair.	Brosse-toi les cheveux.
I'm worried.	Je suis préoccupé.
No problem!	Aucun problème !
I worked hard.	Je travaillais dur.
I want more.	Je veux davantage.
It'll happen.	Ça aura lieu.
I am very tall.	Je suis très grande.
Excuse me?	Pardon ?
She sued him.	Elle lui a fait un procès.
We could read.	Nous pouvions lire.
Don't hang up!	Ne raccroche pas !
She hates him.	Elle a horreur de lui.
Don't shoot!	Ne tirez pas !
I came alone.	Je suis venu seul.
It was a dream.	C'était un rêve.
We are happy.	Nous sommes heureux.
You're not fit.	Vous ne convenez pas.
I saw nothing.	Je n'ai rien vu.
You look fat.	Vous avez l'air gros.
I promise.	Promis.
That's my son.	C'est mon fils.
I trusted you.	Je te fis confiance.
Did I hurt you?	Vous ai-je fait mal ?
I was so happy.	J'étais tellement heureux.
Do tigers purr?	Les tigres ronronnent-ils ?
I'm stubborn.	Je suis têtu.
Is it a deer?	Est-ce un cerf ?
Help me!	Aide-moi !
They're quiet.	Ils sont calmes.
I love winning.	J'adore gagner.
Can they see me?	Sont-elles en mesure de me voir ?
Make me happy.	Rendez-moi heureux.
Tom is shocked.	Tom est sous le choc.
I'm not cranky.	Je ne suis pas grincheuse.
I'm naked.	Je suis à poil.
I want to talk.	Je veux discuter.
They won.	Ils ont gagné.
Start the car.	Démarre la voiture !
I'm the best.	Je suis la meilleure.
Hello everyone!	Bonjour tout le monde !
Isn't it nice?	N'est-ce pas sympa ?
Let's pray.	Prions !
I'm flabby.	Je suis flasque.
Did you get it?	As-tu compris ?
We're kidding.	Nous plaisantons.
I'm retired.	Je suis retraité.
I'm fine.	Je vais bien.
No one laughed.	Personne n'a ri.
Are you bald?	Êtes-vous chauve ?
I don't belong.	Je ne suis pas à ma place.
Get on with it.	Continuez !
Where are they?	Où sont-ils ?
I'm blind.	Je suis aveugle.
You're psyched.	T'es remonté.
Can I leave now?	Puis-je m'en aller maintenant ?
It's too late.	C'est trop tard.
Tom's amazing.	Tom est incroyable.
The cup broke.	La coupe s'est brisée.
He's your son.	Il est ton fils.
We're grateful.	Nous sommes reconnaissants.
You're nervous.	Vous êtes nerveuses.
Tom shot me.	Tom m'a tiré dessus.
Stop yawning.	Arrêtez de bailler.
You're good.	Vous êtes bon.
You were seen.	Tu as été vu.
Whose is this?	À qui est-ce ?
I'm rich.	Je suis riche.
I need you.	J'ai besoin de vous.
Did you like it?	L'as-tu aimée ?
Tom is playing.	Tom est en train de jouer.
Tom was insane.	Tom était fou.
Come in.	Entre.
I kept my word.	Je tins parole.
I remember.	Je m'en souviens.
Can you come?	Peux-tu venir ?
Tom is history.	Tom appartient au passé.
You're not fit.	Vous n'êtes pas en forme.
Act your age.	Conduis-toi selon ton âge.
Tom felt bad.	Tom s'est senti mal.
Are you hiring?	Embauches-tu ?
Tom told him.	Tom lui a dit.
Tell everybody.	Dis-le à tout le monde.
You're winning.	Vous l'emportez.
They'll come.	Ils viendront.
That's stupid.	C'est idiot.
I want a puppy.	Je veux un chiot.
Beat it.	Dégage.
Open the door.	Ouvre la porte.
I freaked out.	J'ai flippé.
Wonderful!	C'est merveilleux !
Tom remembered.	Tom se rappelait.
Tom's fast.	Tom est rapide.
Are you there?	T’es là ?
I sighed.	J’ai soupiré.
Stay behind me.	Reste derrière moi.
He is falling.	Il tombe.
Get rid of her.	Débarrassez-vous d'elle !
They're green.	Ils sont verts.
Sing along.	Chante avec nous !
Are you a ghost?	Êtes-vous un fantôme ?
You look happy.	Tu as l'air heureux.
Get on the bus.	Monte dans le bus !
I tricked you.	Je t’ai eue.
I didn't move.	Je n'ai pas bougé.
I'm fasting.	Je suis à la diète.
I'd leave.	Je partirais.
We knew enough.	Nous en savions assez.
See you Monday.	À lundi !
You're prudent.	Tu es prudent.
I heard that.	J'ai entendu ça.
Don't move!	Ne bouge pas !
Tom ate a pear.	Tom a mangé une poire.
I never worry.	Je ne me fais jamais de souci.
Thanks anyway.	Merci tout de même.
Buy me a drink.	Paie-moi un coup !
I'm famous.	Je suis connue.
You're safe.	Tu es sauf.
Watch yourself.	Sois prudente !
It snowed.	Il a neigé.
You look busy.	Tu as l'air occupée.
Tom is drunk.	Tom est soûl.
Read after me.	Lis après moi.
Here we are!	Nous voilà !
We're here now.	Nous y sommes, actuellement.
We only kissed.	Nous n'avons fait que nous embrasser.
I got nauseous.	Je me suis mis à avoir la nausée.
I'm safe.	Je suis en sécurité.
I'm happy, too.	Je suis heureuse, moi aussi.
Do as you like.	Faites comme vous voulez.
Are we all here?	Sommes-nous tous là ?
I love my job.	J'adore mon boulot.
Stop arguing.	Arrêtez de vous quereller !
Be ruthless.	Soyez impitoyable !
Tom paid cash.	Tom a payé comptant.
Do you eat fish?	Est-ce que tu manges du poisson?
I'll be back.	Je reviens.
I'm excited.	Je suis excité.
Am I intruding?	Est-ce que je dérange ?
Where is it?	Où est-il ?
Help us.	Aide-nous !
Go away!	Bouge !
That's not why.	Ça n'en est pas la raison.
Take a whiff.	Prends une bouffée.
It's obvious.	Ça saute aux yeux.
She liked that.	Elle apprécia cela.
I'm a priest.	Je suis prêtre.
Please relax.	S'il te plaît, calme-toi.
Quiet down.	Du calme.
Shadow him.	File-le !
Tom is chubby.	Tom est dodu.
Forget it!	Oubliez ça !
Do it quickly.	Faites-le vite !
Just say no.	Dis simplement non !
That's my cat.	Il s'agit de mon chat.
I'm not fat.	Je ne suis pas gros.
I'm normal.	Je suis normale.
I'm impulsive.	Je suis impulsive.
Try once again.	Essaie de nouveau.
You're callous.	Vous êtes insensible.
Are you cold?	Vous avez froid ?
I'll buy that.	J'achèterai ça.
I retired.	Je suis partie à la retraite.
Tom stayed.	Tom est resté.
What is it?	Qu'est ce c'est ?
We're smart.	Nous sommes intelligents.
Am I wrong?	Est-ce que je me trompe ?
You owe me one.	Tu m'en dois une.
You drive.	Toi, conduis !
Tom sweated.	Tom a transpiré.
Is it yours?	Est-ce le vôtre ?
Is it bad?	Est-ce grave ?
Is she at home?	Est-elle à la maison ?
I love the sun.	J'adore le soleil.
My name's Tom.	Mon nom est Tom.
I'm bilingual.	Je suis bilingue.
I never go out.	Je ne sors jamais.
I volunteered.	J'ai été volontaire.
Are you hot?	As-tu chaud ?
Move along now.	Avancez maintenant.
Take care!	Faites attention !
Are you a ghost?	Es-tu un fantôme ?
I'm convinced.	Je suis convaincu.
Look here.	Regarde ici.
I support him.	Je le soutiens.
I'm stunned.	Je suis sidérée.
I'm depressed.	Je suis dépressif.
Tom knows best.	Tom le sait mieux que quiconque.
I felt cheated.	Je me suis sentie trompée.
They lost.	Elles ont perdu.
I retired.	Je suis parti à la retraite.
It's adorable.	C'est adorable.
I'll manage it.	Je gérerai ça.
I need a hug.	J'ai besoin d'un câlin.
They're drunk.	Elles sont saoules.
Tom approved.	Tom a donné son accord.
Good job!	Bien joué !
Could I do it?	Serais-je capable de le faire ?
We're strict.	Nous sommes stricts.
Can we start?	Pouvons-nous commencer ?
I'm not dumb.	Je ne suis pas abrutie.
They did it.	Ils ont réussi cela.
I miss my wife.	Ma femme me manque.
I have the flu.	J'ai la grippe.
I bet it works.	Je parie que ça marche.
Tom's silent.	Tom est silencieux.
I'm sure of it.	Je suis certain de ça.
I smoke.	Je fume.
Tom's thrilled.	Tom est aux anges.
It's on me.	C'est pour moi.
Anybody here?	Y a-t-il qui que soit ici ?
Tom is neutral.	Tom est neutre.
I can come.	Je peux venir.
I got confused.	J'ai été désorienté.
Jump across.	Saute de l'autre côté.
I adore you.	Je t'adore.
You look tired.	Tu parais fatigué.
Did you say 30?	Avez-vous dit trente ?
I'm intrigued.	Je suis intriguée.
It's time.	C'est l'heure.
Bring me my hat.	Apporte-moi mon chapeau.
I'm an adult.	Je suis adulte.
Feed the bird.	Nourris l'oiseau !
Beat it.	Déguerpissez.
You're sleepy.	Vous êtes endormies.
I envy you.	Je t'envie.
I have one.	J'en ai une.
Stop whining.	Arrête de râler.
He needs it.	Il en a besoin.
No one left.	Personne ne partit.
They may go.	Elles sont libres de partir.
I'll be sad.	Je serai triste.
Ask anybody.	Demande à n'importe qui !
Tom likes them.	Tom les apprécie.
It's a rumor.	Il s'agit d'une rumeur.
I am good.	Je suis bon.
Stop yelling!	Arrête de hurler !
Wind the clock.	Remonte la pendule.
Bring it to me.	Apportez-le-moi.
I've got you.	Je t'ai eu.
We forgot.	Nous avons oublié.
Pardon me?	Qu'as-tu dit ?
I got a suntan.	Je suis hâlé.
Get to bed.	Allez au lit !
I miss my cat.	Mon chat me manque.
Tom scares me.	Tom m'effraye.
I'm the boss.	C'est moi le patron.
How tragic!	Comme c'est tragique !
I freaked out.	J'ai eu la pétoche.
Can we go?	Pouvons-nous y aller ?
This is simple.	C'est simple.
Check, please.	L'addition s'il vous plaît.
Come join us.	Venez vous joindre à nous !
I have cancer.	J'ai un cancer.
Don't wait up.	Ne veillez pas.
I'm finished.	J'en ai terminé.
They want Tom.	Ils veulent Tom.
Come down here!	Descendez.
I'm not bitter.	Je ne suis pas amer.
Congratulations!	Tous mes voeux !
I've won.	J'ai gagné.
Tom felt safe.	Tom se sentit en sécurité.
Is it free?	C'est gratuit ?
Here it is.	Le voilà.
You drive.	Tu conduis.
Is she gone?	S'en est-elle allée ?
You changed it?	Tu l'as changé ?
Hold on.	Ne quitte pas !
We're working.	Nous sommes en train de travailler.
Tom was pale.	Tom était blême.
You win.	Vous avez gagné.
What a shock!	Quel choc !
Break it up!	Arrêtez !
Tom's married.	Tom est marié.
Count me in.	Tu peux me compter dans le nombre.
Is Tom leaving?	Tom s'en va ?
They smiled.	Elles ont souri.
She is French.	Elle est Française.
He was perfect.	Il était parfait.
He got the job.	Il eut le poste.
Did Tom eat?	Est-ce que Tom a mangé ?
Check it out!	Vérifie !
They hate us.	Ils nous détestent.
I saw the bus.	Je vis le bus.
Wait.	Attends.
Get down!	Descends.
Wonderful!	Quelle merveille !
It was OK.	C'était OK.
I've got you.	Je vous ai eues.
He was stoned.	Il a été lapidé.
I have eyes.	J'ai des yeux.
Drop the gun!	Jetez votre arme !
Did I hurt you?	Vous ai-je blessée ?
We'll call you.	Nous vous appellerons.
